county,party,district,candidate,precinct,office,votes,early_voting,election_day
Summit,DEM,26,Wayne Stevens,3 Prospector,State Senate,80,11,69
Summit,DEM,26,Wayne Stevens,4 Thaynes Canyon,State Senate,120,34,86
Summit,DEM,26,Wayne Stevens,5 Park Meadows South,State Senate,135,50,85
Summit,DEM,26,Wayne Stevens,6 Quarry Mountain,State Senate,253,90,163
Summit,DEM,26,Wayne Stevens,7 Park West,State Senate,235,64,171
Summit,DEM,26,Wayne Stevens,9 Lower Pinebrook,State Senate,242,63,179
Summit,DEM,26,Wayne Stevens,11 South Summit South,State Senate,44,11,33
Summit,DEM,26,Wayne Stevens,12 Kamas,State Senate,125,41,84
Summit,DEM,26,Wayne Stevens,13 South Summit East,State Senate,81,25,56
Summit,DEM,26,Wayne Stevens,14 Oakley,State Senate,137,20,117
Summit,DEM,26,Wayne Stevens,15:2 Peoa,State Senate,2,0,2
Summit,DEM,26,Wayne Stevens,15:20 Peoa,State Senate,23,4,19
Summit,DEM,26,Wayne Stevens,15:32 Peoa,State Senate,7,4,3
Summit,DEM,26,Wayne Stevens,16 Silver Springs,State Senate,235,71,164
Summit,DEM,26,Wayne Stevens,21 Weber Canyon,State Senate,22,10,12
Summit,DEM,26,Wayne Stevens,22 South Summit West,State Senate,57,16,41
Summit,DEM,26,Wayne Stevens,23 Highland Estates West,State Senate,160,43,117
Summit,DEM,26,Wayne Stevens,26 Ranch Place,State Senate,157,45,112
Summit,DEM,26,Wayne Stevens,28 Francis,State Senate,77,7,70
Summit,DEM,26,Wayne Stevens,31 Deer Valley South,State Senate,159,43,116
Summit,DEM,26,Wayne Stevens,32 Old Town North,State Senate,85,19,66
Summit,DEM,26,Wayne Stevens,33 Sidewinder,State Senate,131,27,104
Summit,DEM,26,Wayne Stevens,35 Park Meadows North,State Senate,182,56,126
Summit,DEM,26,Wayne Stevens,36 Ranch Road South,State Senate,79,20,59
Summit,DEM,26,Wayne Stevens,38 Highland Estates East,State Senate,200,45,155
Summit,DEM,26,Wayne Stevens,41 Upper Pinebrook,State Senate,84,21,63
Summit,DEM,26,Wayne Stevens,42 Snyders Mill,State Senate,154,47,107
Summit,DEM,26,Wayne Stevens,45 Promontory Ridge,State Senate,6,1,5
Summit,REP,26,Kevin T. Van Tassell,1 Deer Valley North,State Senate,27,5,22
Summit,REP,26,Kevin T. Van Tassell,2 Old Town South,State Senate,11,1,10
Summit,REP,26,Kevin T. Van Tassell,3 Prospector,State Senate,24,4,20
Summit,REP,26,Kevin T. Van Tassell,4 Thaynes Canyon,State Senate,61,10,51
Summit,REP,26,Kevin T. Van Tassell,5 Park Meadows South,State Senate,59,21,38
Summit,REP,26,Kevin T. Van Tassell,6 Quarry Mountain,State Senate,90,25,65
Summit,REP,26,Kevin T. Van Tassell,7 Park West,State Senate,158,41,117
Summit,REP,26,Kevin T. Van Tassell,9 Lower Pinebrook,State Senate,130,40,90
Summit,REP,26,Kevin T. Van Tassell,11 South Summit South,State Senate,123,27,96
Summit,REP,26,Kevin T. Van Tassell,12 Kamas,State Senate,245,73,172
Summit,REP,26,Kevin T. Van Tassell,13 South Summit East,State Senate,114,36,78
Summit,REP,26,Kevin T. Van Tassell,14 Oakley,State Senate,295,31,264
Summit,REP,26,Kevin T. Van Tassell,15:2 Peoa,State Senate,6,2,4
Summit,REP,26,Kevin T. Van Tassell,15:20 Peoa,State Senate,78,14,64
Summit,REP,26,Kevin T. Van Tassell,15:32 Peoa,State Senate,19,8,11
Summit,REP,26,Kevin T. Van Tassell,16 Silver Springs,State Senate,112,23,89
Summit,REP,26,Kevin T. Van Tassell,21 Weber Canyon,State Senate,32,7,25
Summit,REP,26,Kevin T. Van Tassell,22 South Summit West,State Senate,104,37,67
Summit,REP,26,Kevin T. Van Tassell,23 Highland Estates West,State Senate,109,29,80
Summit,REP,26,Kevin T. Van Tassell,26 Ranch Place,State Senate,86,28,58
Summit,REP,26,Kevin T. Van Tassell,28 Francis,State Senate,231,39,192
Summit,REP,26,Kevin T. Van Tassell,31 Deer Valley South,State Senate,87,24,63
Summit,REP,26,Kevin T. Van Tassell,32 Old Town North,State Senate,39,5,34
Summit,REP,26,Kevin T. Van Tassell,33 Sidewinder,State Senate,33,6,27
Summit,REP,26,Kevin T. Van Tassell,35 Park Meadows North,State Senate,135,40,95
Summit,REP,26,Kevin T. Van Tassell,36 Ranch Road South,State Senate,49,12,37
Summit,REP,26,Kevin T. Van Tassell,38 Highland Estates East,State Senate,75,7,68
Summit,REP,26,Kevin T. Van Tassell,41 Upper Pinebrook,State Senate,60,13,47
Summit,REP,26,Kevin T. Van Tassell,42 Snyders Mill,State Senate,75,20,55
Summit,REP,26,Kevin T. Van Tassell,45 Promontory Ridge,State Senate,7,5,2
Summit,DEM,28,Brian S. King,10 Summit Park West,State House,113,25,88
Summit,DEM,28,Brian S. King,30 Summit Park East,State House,274,61,213
Summit,DEM,28,Brian S. King,39 Pinebrook North,State House,133,37,96
Summit,DEM,53,Ray L. Worthen,7 Park West,State House,235,64,171
Summit,DEM,53,Ray L. Worthen,9 Lower Pinebrook,State House,236,64,172
Summit,DEM,53,Ray L. Worthen,11 South Summit South,State House,46,16,30
Summit,DEM,53,Ray L. Worthen,12 Kamas,State House,136,51,85
Summit,DEM,53,Ray L. Worthen,13 South Summit East,State House,83,27,56
Summit,DEM,53,Ray L. Worthen,14 Oakley,State House,146,23,123
Summit,DEM,53,Ray L. Worthen,15:2 Peoa,State House,4,1,3
Summit,DEM,53,Ray L. Worthen,15:20 Peoa,State House,18,3,15
Summit,DEM,53,Ray L. Worthen,15:32 Peoa,State House,7,4,3
Summit,DEM,53,Ray L. Worthen,16 Silver Springs,State House,229,73,156
Summit,DEM,53,Ray L. Worthen,17:2 Wanship,State House,34,8,26
Summit,DEM,53,Ray L. Worthen,17:10 Wanship,State House,89,14,75
Summit,DEM,53,Ray L. Worthen,17:32 Wanship,State House,3,1,2
Summit,DEM,53,Ray L. Worthen,18 Hoytsville,State House,53,10,43
Summit,DEM,53,Ray L. Worthen,19 Coalville,State House,74,11,63
Summit,DEM,53,Ray L. Worthen,20 Chalk Creek,State House,27,6,21
Summit,DEM,53,Ray L. Worthen,21 Weber Canyon,State House,15,5,10
Summit,DEM,53,Ray L. Worthen,22 South Summit West,State House,55,16,39
Summit,DEM,53,Ray L. Worthen,24 North Summit North,State House,22,4,18
Summit,DEM,53,Ray L. Worthen,25 Henefer,State House,30,0,30
Summit,DEM,53,Ray L. Worthen,27 Jeremy West,State House,115,25,90
Summit,DEM,53,Ray L. Worthen,28 Francis,State House,80,12,68
Summit,DEM,53,Ray L. Worthen,29 Wagon Wheel,State House,79,9,70
Summit,DEM,53,Ray L. Worthen,37 Jeremy East,State House,179,44,135
Summit,DEM,53,Ray L. Worthen,40 Moose Hollow,State House,182,64,118
Summit,DEM,53,Ray L. Worthen,41 Upper Pinebrook,State House,83,21,62
Summit,DEM,53,Ray L. Worthen,42 Snyders Mill,State House,156,47,109
Summit,DEM,53,Ray L. Worthen,43 Kimball Canyon,State House,24,3,21
Summit,DEM,53,Ray L. Worthen,45 Promontory Ridge,State House,5,0,5
Summit,REP,53,Melvin R. Brown,7 Park West,State House,161,41,120
Summit,REP,53,Melvin R. Brown,9 Lower Pinebrook,State House,132,38,94
Summit,REP,53,Melvin R. Brown,11 South Summit South,State House,118,22,96
Summit,REP,53,Melvin R. Brown,12 Kamas,State House,232,63,169
Summit,REP,53,Melvin R. Brown,13 South Summit East,State House,106,31,75
Summit,REP,53,Melvin R. Brown,14 Oakley,State House,290,29,261
Summit,REP,53,Melvin R. Brown,15:2 Peoa,State House,4,1,3
Summit,REP,53,Melvin R. Brown,15:20 Peoa,State House,86,16,70
Summit,REP,53,Melvin R. Brown,15:32 Peoa,State House,20,8,12
Summit,REP,53,Melvin R. Brown,16 Silver Springs,State House,115,22,93
Summit,REP,53,Melvin R. Brown,17:2 Wanship,State House,23,8,15
Summit,REP,53,Melvin R. Brown,17:10 Wanship,State House,110,11,99
Summit,REP,53,Melvin R. Brown,17:32 Wanship,State House,2,1,1
Summit,REP,53,Melvin R. Brown,18 Hoytsville,State House,205,32,173
Summit,REP,53,Melvin R. Brown,19 Coalville,State House,280,57,223
Summit,REP,53,Melvin R. Brown,20 Chalk Creek,State House,125,31,94
Summit,REP,53,Melvin R. Brown,21 Weber Canyon,State House,40,12,28
Summit,REP,53,Melvin R. Brown,22 South Summit West,State House,107,38,69
Summit,REP,53,Melvin R. Brown,24 North Summit North,State House,103,12,91
Summit,REP,53,Melvin R. Brown,25 Henefer,State House,202,13,189
Summit,REP,53,Melvin R. Brown,27 Jeremy West,State House,105,22,83
Summit,REP,53,Melvin R. Brown,28 Francis,State House,229,35,194
Summit,REP,53,Melvin R. Brown,29 Wagon Wheel,State House,45,8,37
Summit,REP,53,Melvin R. Brown,37 Jeremy East,State House,120,15,105
Summit,REP,53,Melvin R. Brown,40 Moose Hollow,State House,133,24,109
Summit,REP,53,Melvin R. Brown,41 Upper Pinebrook,State House,59,12,47
Summit,REP,53,Melvin R. Brown,42 Snyders Mill,State House,74,21,53
Summit,REP,53,Melvin R. Brown,43 Kimball Canyon,State House,14,2,12
Summit,REP,53,Melvin R. Brown,45 Promontory Ridge,State House,8,6,2
Summit,DEM,54,Glenn J. Wright,1 Deer Valley North,State House,68,15,53
Summit,DEM,54,Glenn J. Wright,2 Old Town South,State House,77,18,59
Summit,DEM,54,Glenn J. Wright,3 Prospector,State House,73,11,62
Summit,DEM,54,Glenn J. Wright,4 Thaynes Canyon,State House,112,27,85
Summit,DEM,54,Glenn J. Wright,5 Park Meadows South,State House,133,49,84
Summit,DEM,54,Glenn J. Wright,6 Quarry Mountain,State House,245,82,163
Summit,DEM,54,Glenn J. Wright,8 Silver Creek Upper,State House,80,30,50
Summit,DEM,54,Glenn J. Wright,23 Highland Estates West,State House,155,41,114
Summit,DEM,54,Glenn J. Wright,26 Ranch Place,State House,149,40,109
Summit,DEM,54,Glenn J. Wright,31 Deer Valley South,State House,149,38,111
Summit,DEM,54,Glenn J. Wright,32 Old Town North,State House,88,21,67
Summit,DEM,54,Glenn J. Wright,33 Sidewinder,State House,136,31,105
Summit,DEM,54,Glenn J. Wright,34 Bitner,State House,173,51,122
Summit,DEM,54,Glenn J. Wright,35 Park Meadows North,State House,177,58,119
Summit,DEM,54,Glenn J. Wright,36 Ranch Road South,State House,80,21,59
Summit,DEM,54,Glenn J. Wright,38 Highland Estates East,State House,193,41,152
Summit,DEM,54,Glenn J. Wright,44 Silver Creek Lower,State House,79,26,53
Summit,REP,54,Kraig Powell,1 Deer Valley North,State House,32,7,25
Summit,REP,54,Kraig Powell,2 Old Town South,State House,17,2,15
Summit,REP,54,Kraig Powell,3 Prospector,State House,32,5,27
Summit,REP,54,Kraig Powell,4 Thaynes Canyon,State House,70,16,54
Summit,REP,54,Kraig Powell,5 Park Meadows South,State House,67,22,45
Summit,REP,54,Kraig Powell,6 Quarry Mountain,State House,104,33,71
Summit,REP,54,Kraig Powell,8 Silver Creek Upper,State House,50,11,39
Summit,REP,54,Kraig Powell,10 Summit Park West,State House,,,
Summit,REP,54,Kraig Powell,23 Highland Estates West,State House,112,31,81
Summit,REP,54,Kraig Powell,26 Ranch Place,State House,102,33,69
Summit,REP,54,Kraig Powell,30 Summit Park East,State House,,,
Summit,REP,54,Kraig Powell,31 Deer Valley South,State House,97,30,67
Summit,REP,54,Kraig Powell,32 Old Town North,State House,39,4,35
Summit,REP,54,Kraig Powell,33 Sidewinder,State House,33,4,29
Summit,REP,54,Kraig Powell,34 Bitner,State House,92,26,66
Summit,REP,54,Kraig Powell,35 Park Meadows North,State House,143,40,103
Summit,REP,54,Kraig Powell,36 Ranch Road South,State House,49,12,37
Summit,REP,54,Kraig Powell,38 Highland Estates East,State House,83,10,73
Summit,REP,54,Kraig Powell,39 Pinebrook North,State House,,,
Summit,REP,54,Kraig Powell,44 Silver Creek Lower,State House,83,19,64
